Proteins,Gene Symbol,Molecular Weight,Protein Grouping Ambiguity,Total Spectrum Count_hFT1-1,Total Spectrum Count_hFT1-2,Total Spectrum Count_hFT1-3,Exclusive Spectrum Count_hFT1-1,Exclusive Spectrum Count_hFT1-2,Exclusive Spectrum Count_hFT1-3,Total Unique Spectrum Count_hFT1-1,Total Unique Spectrum Count_hFT1-2,Total Unique Spectrum Count_hFT1-3,Exclusive Unique Spectrum Count_hFT1-1,Exclusive Unique Spectrum Count_hFT1-2,Exclusive Unique Spectrum Count_hFT1-3,Total Unique Peptide Count_hFT1-1,Total Unique Peptide Count_hFT1-2,Total Unique Peptide Count_hFT1-3,Exclusive Unique Peptide Count_hFT1-1,Exclusive Unique Peptide Count_hFT1-2,Exclusive Unique Peptide Count_hFT1-3,Protein Identification Probability_hFT1-1,Protein Identification Probability_hFT1-2,Protein Identification Probability_hFT1-3,Percent Coverage_hFT1-1,Percent Coverage_hFT1-2,Percent Coverage_hFT1-3,Percentage of Total Spectra_hFT1-1,Percentage of Total Spectra_hFT1-2,Percentage of Total Spectra_hFT1-3
"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3",MTHFD1,102 kDa,,7,4,4,7,4,4,6,3,4,6,3,4,6,3,4,6,3,4,100%,100%,100%,8.88%,4.39%,5.24%,0.01%,0.01%,0.01%
C4b-binding protein alpha chain OS=Homo sapiens OX=9606 GN=C4BPA PE=1 SV=2,C4BPA,67 kDa,,5,2,2,5,2,2,4,2,2,4,2,2,3,2,2,3,2,2,100%,100%,100%,6.53%,5.03%,5.03%,0.01%,0.00%,0.00%
Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2,BASP1,23 kDa,,6,2,3,6,2,3,5,2,3,5,2,3,5,2,3,5,2,3,100%,100%,100%,48.00%,23.30%,29.50%,0.01%,0.00%,0.00%
Biglycan OS=Homo sapiens OX=9606 GN=BGN PE=1 SV=2,BGN,42 kDa,,21,13,13,21,13,13,8,5,7,8,5,7,5,4,5,5,4,5,100%,100%,100%,17.40%,14.90%,17.40%,0.03%,0.02%,0.02%
Bifunctional purine biosynthesis protein PURH OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3,ATIC,65 kDa,,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,100%,53%,77%,5.07%,0.00%,0.00%,0.00%,0.00%,0.00%
Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Homo sapiens OX=9606 GN=PAPSS2 PE=1 SV=2,PAPSS2,70 kDa,,4,1,1,4,1,1,3,1,1,3,1,1,2,1,1,2,1,1,100%,100%,100%,4.89%,2.77%,2.77%,0.01%,0.00%,0.00%
Beta-2-syntrophin OS=Homo sapiens OX=9606 GN=SNTB2 PE=1 SV=1,SNTB2,58 kDa,,5,4,3,5,4,3,3,3,2,3,3,2,3,2,2,3,2,2,100%,100%,100%,7.96%,5.00%,5.00%,0.01%,0.01%,0.00%
Beta-2-glycoprotein 1 OS=Homo sapiens OX=9606 GN=APOH PE=1 SV=3,APOH,38 kDa,,19,16,11,19,16,11,10,8,8,10,8,8,8,7,7,8,7,7,100%,100%,100%,38.80%,37.10%,37.10%,0.03%,0.03%,0.02%
Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4,HSPG2,469 kDa,,243,188,201,243,188,201,136,93,96,136,93,96,75,59,63,75,59,63,100%,100%,100%,26.70%,20.70%,21.90%,0.36%,0.29%,0.32%
Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1,EPB41L2,113 kDa,,5,5,4,5,5,4,5,4,3,5,4,3,4,3,3,4,3,3,100%,100%,100%,8.36%,6.07%,4.68%,0.01%,0.01%,0.01%
Band 3 anion transport protein OS=Homo sapiens OX=9606 GN=SLC4A1 PE=1 SV=3,SLC4A1,102 kDa,,3,1,3,3,1,3,3,1,2,3,1,2,2,1,2,2,1,2,100%,99%,100%,4.17%,1.54%,4.17%,0.00%,0.00%,0.00%
BTB/POZ domain-containing protein KCTD12 OS=Homo sapiens OX=9606 GN=KCTD12 PE=1 SV=1,KCTD12,36 kDa,,14,9,11,14,9,11,9,6,8,9,6,8,8,5,7,8,5,7,100%,100%,100%,34.50%,19.10%,19.40%,0.02%,0.01%,0.02%
Asporin OS=Homo sapiens OX=9606 GN=ASPN PE=1 SV=2,ASPN,43 kDa,,6,5,5,6,5,5,4,3,5,4,3,5,4,3,4,4,3,4,100%,100%,100%,15.30%,12.40%,15.30%,0.01%,0.01%,0.01%
Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens OX=9606 GN=ASPH PE=1 SV=3,ASPH,86 kDa,,3,1,1,3,1,1,2,1,1,2,1,1,2,1,1,2,1,1,100%,100%,100%,3.56%,2.37%,2.37%,0.00%,0.00%,0.00%
"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS PE=1 SV=2",DARS,57 kDa,,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,100%,0,11%,5.59%,0,0.00%,0.00%,0,0.00%
Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3,API5,59 kDa,,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,100%,95%,0,7.25%,2.10%,0,0.00%,0.00%,0
Apolipoprotein A-II OS=Homo sapiens OX=9606 GN=APOA2 PE=1 SV=1,APOA2,11 kDa,,3,1,0,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,100%,98%,0,34.00%,11.00%,0,0.00%,0.00%,0
Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1,APOA1,31 kDa,,11,11,10,11,11,10,9,6,7,9,6,7,6,5,6,6,5,6,100%,100%,100%,23.60%,18.70%,24.30%,0.02%,0.02%,0.02%
Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1,SERPINC1,53 kDa,,32,19,20,32,19,20,13,8,11,13,8,11,6,3,4,6,3,4,100%,100%,100%,16.60%,8.84%,12.50%,0.05%,0.03%,0.03%
Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1,ANXA11,54 kDa,,4,3,2,4,3,2,2,2,1,2,2,1,2,2,1,2,2,1,100%,100%,99%,4.16%,4.16%,1.78%,0.01%,0.00%,0.00%
Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3,ANXA6,76 kDa,,43,31,31,43,31,31,25,17,19,25,17,19,18,12,13,18,12,13,100%,100%,100%,32.40%,21.50%,24.20%,0.06%,0.05%,0.05%
Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2,ANXA5,36 kDa,,19,17,13,19,17,13,11,9,7,11,9,7,8,5,5,8,5,5,100%,100%,100%,33.10%,19.10%,19.10%,0.03%,0.03%,0.02%
Putative annexin A2-like protein OS=Homo sapiens OX=9606 GN=ANXA2P2 PE=5 SV=2,ANXA2P2,39 kDa,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2,ANXA1,39 kDa,,31,27,28,31,27,28,14,13,12,14,13,12,10,11,9,10,11,9,100%,100%,100%,41.30%,39.00%,31.50%,0.05%,0.04%,0.04%
Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=4,ANK2,434 kDa,TRUE,3,1,2,2,0,1,3,1,2,2,0,1,3,1,2,2,0,1,100%,93%,100%,0.91%,0.28%,0.68%,0.00%,0.00%,0.00%
Ankyrin-1 OS=Homo sapiens OX=9606 GN=ANK1 PE=1 SV=3,ANK1,206 kDa,,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,100%,98%,100%,1.54%,0.80%,1.70%,0.00%,0.00%,0.00%
Ankycorbin OS=Homo sapiens OX=9606 GN=RAI14 PE=1 SV=2,RAI14,110 kDa,,4,2,1,4,2,1,4,2,1,4,2,1,4,2,1,4,2,1,100%,100%,100%,6.84%,2.65%,1.43%,0.01%,0.00%,0.00%
Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=2,RNPEP,73 kDa,,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,2,1,1,100%,94%,94%,3.54%,1.85%,1.85%,0.00%,0.00%,0.00%
Amine oxidase [flavin-containing] B OS=Homo sapiens OX=9606 GN=MAOB PE=1 SV=3,MAOB,59 kDa,,3,3,2,3,3,2,3,3,2,3,3,2,2,2,2,2,2,2,100%,100%,100%,5.38%,5.38%,5.38%,0.00%,0.00%,0.00%
Gamma-enolase OS=Homo sapiens OX=9606 GN=ENO2 PE=1 SV=3,ENO2,47 kDa,TRUE,13,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,40%,0,0,4.15%,0,0,0.02%,0,0
Beta-centractin OS=Homo sapiens OX=9606 GN=ACTR1B PE=1 SV=1,ACTR1B,42 kDa,TRUE,2,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,12%,6%,18%,5.59%,2.66%,0.00%,0.00%,0.00%,0.00%
Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH7A1 PE=1 SV=5,ALDH7A1,58 kDa,,6,5,4,6,5,4,6,3,3,6,3,3,4,3,3,4,3,3,100%,100%,100%,11.70%,6.86%,9.65%,0.01%,0.01%,0.01%
Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2,ADD1,81 kDa,,4,5,6,4,5,6,3,4,3,3,4,3,3,3,3,3,3,3,100%,100%,100%,5.43%,5.97%,5.97%,0.01%,0.01%,0.01%
Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,ACTN4,105 kDa,TRUE,122,115,106,74,70,58,51,45,36,39,37,27,26,24,24,19,18,17,100%,100%,100%,35.20%,31.90%,33.30%,0.18%,0.18%,0.17%
Pregnancy zone protein OS=Homo sapiens OX=9606 GN=PZP PE=1 SV=4,PZP,164 kDa,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2,AHSG,39 kDa,,20,20,18,20,20,18,9,11,11,9,11,11,4,5,4,4,5,4,100%,100%,100%,19.60%,22.30%,19.60%,0.03%,0.03%,0.03%
Alpha-1B-glycoprotein OS=Homo sapiens OX=9606 GN=A1BG PE=1 SV=4,A1BG,54 kDa,,5,4,2,5,4,2,4,3,2,4,3,2,4,3,2,4,3,2,100%,100%,100%,9.49%,7.27%,5.66%,0.01%,0.01%,0.00%
Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3,SERPINA1,47 kDa,,32,27,22,32,27,22,9,8,7,9,8,7,6,5,5,6,5,5,100%,100%,100%,18.20%,12.90%,16.30%,0.05%,0.04%,0.04%
Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2,SERPINA3,48 kDa,,13,4,5,13,4,5,9,3,3,9,3,3,4,2,2,4,2,2,100%,100%,100%,13.50%,6.86%,8.75%,0.02%,0.01%,0.01%
All-trans-retinol dehydrogenase [NAD(+)] ADH1B OS=Homo sapiens OX=9606 GN=ADH1B PE=1 SV=2,ADH1B,40 kDa,TRUE,17,11,11,10,6,7,11,6,8,8,4,5,8,4,5,5,3,4,100%,100%,100%,26.40%,15.20%,21.60%,0.03%,0.02%,0.02%
Aldo-keto reductase family 1 member C4 OS=Homo sapiens OX=9606 GN=AKR1C4 PE=1 SV=3,AKR1C4,37 kDa,TRUE,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,48%,0,9%,2.48%,0,0.00%,0.00%,0,0.00%
Aldo-keto reductase family 1 member A1 OS=Homo sapiens OX=9606 GN=AKR1A1 PE=1 SV=3,AKR1A1,37 kDa,,3,2,2,2,2,2,3,1,1,2,1,1,2,1,1,1,1,1,100%,100%,100%,7.08%,4.62%,4.62%,0.00%,0.00%,0.00%
Alcohol dehydrogenase class-3 OS=Homo sapiens OX=9606 GN=ADH5 PE=1 SV=4,ADH5,40 kDa,,21,15,17,21,15,17,7,6,7,7,6,7,5,5,6,5,5,6,100%,100%,100%,20.30%,15.50%,20.90%,0.03%,0.02%,0.03%
"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS PE=1 SV=2",AARS,107 kDa,,6,2,2,6,2,2,5,2,2,5,2,2,4,2,2,4,2,2,100%,100%,100%,4.96%,2.58%,2.58%,0.01%,0.00%,0.00%
Adipocyte plasma membrane-associated protein OS=Homo sapiens OX=9606 GN=APMAP PE=1 SV=2,APMAP,46 kDa,,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,100%,100%,100%,3.37%,6.25%,6.25%,0.00%,0.00%,0.00%
Adipocyte enhancer-binding protein 1 OS=Homo sapiens OX=9606 GN=AEBP1 PE=1 SV=1,AEBP1,131 kDa,TRUE,21,17,12,17,14,10,14,12,11,13,11,9,10,10,9,9,9,8,100%,100%,100%,12.00%,12.30%,10.40%,0.03%,0.03%,0.02%
Adenylyl cyclase-associated protein 1 OS=Homo sapiens OX=9606 GN=CAP1 PE=1 SV=5,CAP1,52 kDa,,15,9,10,15,9,10,10,6,6,10,6,6,6,5,5,6,5,5,100%,100%,100%,21.30%,18.50%,18.50%,0.02%,0.01%,0.02%
Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4,AHCY,48 kDa,,9,1,2,9,1,2,6,1,2,6,1,2,6,1,2,6,1,2,100%,100%,100%,16.70%,2.78%,5.32%,0.01%,0.00%,0.00%
Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens OX=9606 GN=SUB1 PE=1 SV=3,SUB1,14 kDa,,1,3,3,1,3,3,1,2,2,1,2,2,1,2,2,1,2,2,99%,100%,100%,8.66%,18.90%,18.90%,0.00%,0.00%,0.00%
Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=3,ACTR3,47 kDa,,10,5,7,10,5,7,7,4,6,7,4,6,5,4,5,5,4,5,100%,100%,100%,13.40%,11.00%,13.40%,0.02%,0.01%,0.01%
Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=1 SV=3,ARPC4,20 kDa,,4,5,6,4,5,6,3,2,3,3,2,3,3,2,3,3,2,3,100%,100%,100%,17.90%,11.30%,17.90%,0.01%,0.01%,0.01%
Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens OX=9606 GN=ARPC2 PE=1 SV=1,ARPC2,34 kDa,,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,100%,100%,100%,7.67%,7.67%,7.67%,0.00%,0.00%,0.00%
Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3,ARPC1B,41 kDa,,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,100%,100%,100%,8.06%,3.49%,8.33%,0.00%,0.00%,0.00%
Actin-related protein 2 OS=Homo sapiens OX=9606 GN=ACTR2 PE=1 SV=1,ACTR2,45 kDa,,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,100%,100%,100%,3.05%,9.14%,9.14%,0.00%,0.00%,0.00%
Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3,ABLIM1,88 kDa,,2,2,3,1,1,3,2,2,3,1,1,3,2,2,3,1,1,3,100%,100%,100%,2.57%,3.08%,5.27%,0.00%,0.00%,0.00%
Putative beta-actin-like protein 3 OS=Homo sapiens OX=9606 GN=POTEKP PE=5 SV=1,POTEKP,42 kDa,TRUE,63,52,55,0,0,0,11,6,9,0,0,0,3,2,3,0,0,0,17%,69%,39%,8.00%,7.73%,8.00%,0.09%,0.08%,0.09%
"Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2",ACO2,85 kDa,,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,100%,100%,100%,7.18%,5.64%,3.59%,0.00%,0.00%,0.00%
ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1,DDX42,103 kDa,,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,100%,0,100%,1.39%,0,3.73%,0.00%,0,0.00%
ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2,DDX1,82 kDa,,3,2,1,3,2,1,2,1,1,2,1,1,2,1,1,2,1,1,100%,100%,100%,3.65%,2.16%,2.16%,0.00%,0.00%,0.00%
ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,DHX9,141 kDa,,5,3,4,5,3,4,4,3,3,4,3,3,4,3,3,4,3,3,100%,100%,100%,3.78%,3.15%,2.52%,0.01%,0.00%,0.01%
"ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens OX=9606 GN=PFKP PE=1 SV=2",PFKP,86 kDa,,4,5,2,4,5,2,3,4,2,3,4,2,3,3,2,3,3,2,100%,100%,100%,5.87%,5.87%,3.06%,0.01%,0.01%,0.00%
"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",ATP5F1B,57 kDa,,8,7,7,8,7,7,5,4,5,5,4,5,5,4,3,5,4,3,100%,100%,100%,14.40%,11.30%,9.07%,0.01%,0.01%,0.01%
"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",ATP5F1A,60 kDa,,20,17,20,20,17,20,8,9,9,8,9,9,8,8,9,8,8,9,100%,100%,100%,17.00%,17.00%,18.30%,0.03%,0.03%,0.03%
AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1,AP3D1,130 kDa,,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,2,0,0,100%,73%,0,4.25%,0.00%,0,0.00%,0.00%,0
AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2,AP2M1,50 kDa,,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,100%,55%,100%,7.13%,0.00%,3.45%,0.00%,0.00%,0.00%
AP-2 complex subunit beta OS=Homo sapiens OX=9606 GN=AP2B1 PE=1 SV=1,AP2B1,105 kDa,TRUE,10,9,8,8,7,6,6,6,6,4,4,4,6,6,5,4,4,3,100%,100%,100%,7.26%,7.47%,6.40%,0.02%,0.01%,0.01%
AP-2 complex subunit alpha-2 OS=Homo sapiens OX=9606 GN=AP2A2 PE=1 SV=2,AP2A2,104 kDa,TRUE,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,30%,8%,13%,1.28%,0.00%,0.00%,0.00%,0.00%,0.00%
ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4,SLC25A6,33 kDa,TRUE,3,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,100%,98%,99%,11.40%,4.36%,4.36%,0.00%,0.00%,0.00%
ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7,SLC25A5,33 kDa,TRUE,3,2,1,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,99%,94%,99%,7.72%,4.36%,4.36%,0.00%,0.00%,0.00%
A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,AKAP12,191 kDa,,42,27,20,42,27,20,29,16,12,29,16,12,21,13,10,21,13,10,100%,100%,100%,23.00%,12.80%,9.71%,0.06%,0.04%,0.03%
182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4,TNKS1BP1,182 kDa,,1,3,0,1,3,0,1,3,0,1,3,0,1,3,0,1,3,0,100%,100%,52%,1.10%,3.47%,0.00%,0.00%,0.00%,0.00%
116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1,EFTUD2,109 kDa,TRUE,1,1,3,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,99%,99%,90%,1.34%,1.34%,2.37%,0.00%,0.00%,0.00%
60S ribosomal protein L30 OS=Homo sapiens OX=9606 GN=RPL30 PE=1 SV=2,RPL30,13 kDa,,10,9,9,10,9,9,4,2,3,4,2,3,3,2,3,3,2,3,100%,100%,100%,40.90%,24.30%,40.90%,0.02%,0.01%,0.01%
60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=3,RPL28,16 kDa,,4,2,1,4,2,1,4,1,1,4,1,1,4,1,1,4,1,1,100%,95%,96%,16.10%,5.84%,5.84%,0.01%,0.00%,0.00%
60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2,RPL27A,17 kDa,,8,8,7,8,8,7,5,4,3,5,4,3,3,3,3,3,3,3,100%,100%,100%,22.30%,22.30%,22.30%,0.01%,0.01%,0.01%
60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2,RPL27,16 kDa,,1,3,3,1,3,3,1,2,2,1,2,2,1,2,2,1,2,2,100%,100%,100%,6.62%,14.70%,14.70%,0.00%,0.00%,0.00%
60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1,RPL24,18 kDa,,8,7,6,8,7,6,3,3,2,3,3,2,3,2,2,3,2,2,100%,100%,100%,19.10%,13.40%,13.40%,0.01%,0.01%,0.01%
60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1,RPL23,15 kDa,,11,10,11,11,10,11,5,4,4,5,4,4,2,2,2,2,2,2,100%,100%,100%,20.00%,20.00%,20.00%,0.02%,0.02%,0.02%
60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2,RPL22,15 kDa,,2,5,5,2,5,5,1,3,3,1,3,3,1,3,3,1,3,3,99%,100%,100%,10.20%,19.50%,19.50%,0.00%,0.01%,0.01%
60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2,RPL18A,21 kDa,,4,2,3,4,2,3,4,2,2,4,2,2,3,2,2,3,2,2,100%,100%,100%,21.00%,13.60%,13.60%,0.01%,0.00%,0.00%
60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=2,RPL18,22 kDa,,15,16,12,15,16,12,4,4,4,4,4,4,4,4,4,4,4,4,100%,100%,100%,25.50%,25.50%,25.50%,0.02%,0.03%,0.02%
60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3,RPL17,21 kDa,,4,5,4,4,5,4,3,3,2,3,3,2,2,2,2,2,2,2,100%,100%,100%,13.00%,13.00%,13.00%,0.01%,0.01%,0.01%
60S ribosomal protein L15 OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=2,RPL15,24 kDa,,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,100%,100%,100%,11.30%,14.70%,11.30%,0.00%,0.00%,0.00%
60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=4,RPL14,23 kDa,,2,4,2,2,4,2,2,3,1,2,3,1,1,2,1,1,2,1,100%,100%,100%,5.12%,10.70%,5.12%,0.00%,0.01%,0.00%
60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2,RPL13A,24 kDa,,5,4,3,5,4,3,3,3,2,3,3,2,3,3,2,3,3,2,100%,100%,100%,14.30%,15.30%,9.36%,0.01%,0.01%,0.00%
60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4,RPL13,24 kDa,,6,6,7,6,6,7,3,3,4,3,3,4,3,3,4,3,3,4,100%,100%,100%,14.20%,14.20%,19.00%,0.01%,0.01%,0.01%
60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1,RPL12,18 kDa,,2,5,3,2,5,3,1,3,2,1,3,2,1,3,2,1,3,2,100%,100%,100%,5.45%,24.80%,15.20%,0.00%,0.01%,0.00%
60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1,RPL9,22 kDa,,4,5,3,4,5,3,2,3,3,2,3,3,2,2,2,2,2,2,100%,100%,100%,15.10%,15.10%,15.10%,0.01%,0.01%,0.00%
60S ribosomal protein L8 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2,RPL8,28 kDa,,3,1,1,3,1,1,3,1,1,3,1,1,2,1,1,2,1,1,100%,99%,99%,10.50%,6.23%,6.23%,0.00%,0.00%,0.00%
60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2,RPL7A,30 kDa,,5,7,4,5,7,4,4,5,3,4,5,3,4,4,3,4,4,3,100%,100%,100%,12.00%,12.00%,8.65%,0.01%,0.01%,0.01%
60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1,RPL7,29 kDa,,10,7,5,10,7,5,6,4,3,6,4,3,6,4,2,6,4,2,100%,100%,100%,25.40%,14.10%,8.47%,0.02%,0.01%,0.01%
60S ribosomal protein L6 OS=Homo sapiens OX=9606 GN=RPL6 PE=1 SV=3,RPL6,33 kDa,,9,8,7,9,8,7,7,6,6,7,6,6,5,5,6,5,5,6,100%,100%,100%,16.00%,19.40%,19.80%,0.01%,0.01%,0.01%
60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3,RPL5,34 kDa,,4,5,5,4,5,5,3,2,3,3,2,3,2,2,2,2,2,2,100%,100%,100%,8.08%,8.08%,8.08%,0.01%,0.01%,0.01%
60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,RPL4,48 kDa,,9,3,3,9,3,3,5,2,2,5,2,2,4,2,2,4,2,2,100%,100%,100%,13.30%,6.32%,7.26%,0.01%,0.00%,0.00%
60S ribosomal protein L3-like OS=Homo sapiens OX=9606 GN=RPL3L PE=2 SV=3,RPL3L,46 kDa,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14%,0,0,0.00%,0,0,0.00%
60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1,RPLP0,34 kDa,,4,3,5,4,3,5,4,2,5,4,2,5,2,2,3,2,2,3,100%,100%,100%,10.70%,10.70%,13.90%,0.01%,0.00%,0.01%
"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",HSPD1,61 kDa,,7,6,2,7,6,2,5,6,2,5,6,2,4,3,2,4,3,2,100%,100%,100%,11.50%,9.42%,6.46%,0.01%,0.01%,0.00%
40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4,RPSA,33 kDa,,4,2,8,4,2,8,3,2,4,3,2,4,2,2,3,2,2,3,100%,100%,100%,11.90%,6.44%,15.60%,0.01%,0.00%,0.01%
40S ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=1,FAU,7 kDa,,3,3,3,3,3,3,1,2,1,1,2,1,1,2,1,1,2,1,99%,100%,99%,16.90%,18.60%,16.90%,0.00%,0.00%,0.00%
